GEOID,AFFGEOID,ALAND,AWATER,BLKGRPCE,COUNTYFP,GEOID,LSAD,NAME,STATEFP,TRACTCE,geometry
370210012001,1500000US370210012001,1523530,0,1,021,370210012001,BG,1,37,001200,"POLYGON ((-82.607777 35.587359, -82.60011799999999 35.593086, -82.599903 35.593242, -82.599283 35.592488, -82.596361 35.59254, -82.594821 35.592302, -82.59296399999999 35.591671, -82.593166 35.588761, -82.592017 35.586738, -82.592034 35.586031, -82.59199699999999 35.583359, -82.59459199999999 35.582768, -82.594657 35.578652, -82.59795 35.580594, -82.60351199999999 35.581324, -82.60478599999999 35.582218, -82.606033 35.582981, -82.609472 35.58552, -82.607777 35.587359))"
370210020002,1500000US370210020002,1814185,0,2,021,370210020002,BG,2,37,002000,"POLYGON ((-82.519138 35.577979, -82.518168 35.576615, -82.509688 35.569175, -82.506513 35.567558, -82.49905699999999 35.564583, -82.50254099999999 35.559222, -82.50473 35.557603, -82.507234 35.556803, -82.517612 35.55651599999999, -82.517645 35.557182, -82.51615099999999 35.557413, -82.51472199999999 35.558986, -82.51656299999999 35.560024, -82.51662899999999 35.561488, -82.51844199999999 35.565514, -82.51317399999999 35.566198, -82.51350000000001 35.569016, -82.516537 35.572148, -82.517095 35.574798, -82.51977099999999 35.577414, -82.519138 35.577979))"
370210025043,1500000US370210025043,3135387,0,3,021,370210025043,BG,3,37,002504,"POLYGON ((-82.73286499999999 35.551555, -82.72894699999999 35.553168, -82.730507 35.555473, -82.73183899999999 35.560974, -82.72960599999999 35.565495, -82.725077 35.572146, -82.724486 35.573564, -82.721023 35.575296, -82.720505 35.576043, -82.71560099999999 35.573594, -82.71366999999999 35.572007, -82.709789 35.571342, -82.712042 35.568952, -82.714383 35.569119, -82.715063 35.56654, -82.71608499999999 35.56580599999999, -82.71502099999999 35.563436, -82.714643 35.557852, -82.71293299999999 35.55793999999999, -82.709259 35.557045, -82.70926299999999 35.556624, -82.712789 35.556763, -82.71479599999999 35.556274, -82.72077 35.553562, -82.72239399999999 35.553259, -82.727519 35.552635, -82.73325199999999 35.550847, -82.73286499999999 35.551555))"
370210022033,1500000US370210022033,3186130,0,3,021,370210022033,BG,3,37,002203,"POLYGON ((-82.52573799999999 35.449767, -82.525751 35.451199, -82.52389099999999 35.452373, -82.51960099999999 35.457491, -82.518514 35.458459, -82.512163 35.459776, -82.511664 35.46059, -82.511453 35.460409, -82.50502499999999 35.456245, -82.504003 35.45394, -82.49956999999999 35.450454, -82.497822 35.44786, -82.49503199999999 35.445012, -82.507211 35.444873, -82.526634 35.444645, -82.52573799999999 35.449767))"
370210030022,1500000US370210030022,2001607,0,2,021,370210030022,BG,2,37,003002,"POLYGON ((-82.39800099999999 35.60253, -82.39456199999999 35.604111, -82.391712 35.604378, -82.39050999999999 35.605179, -82.390326 35.609254, -82.391587 35.611035, -82.391374 35.613761, -82.389713 35.615432, -82.387052 35.615297, -82.38681099999999 35.6141, -82.385063 35.611599, -82.38575299999999 35.609475, -82.379975 35.613986, -82.380208 35.61683, -82.379701 35.615907, -82.379274 35.615047, -82.37906699999999 35.613937, -82.37851499999999 35.612613, -82.378125 35.611953, -82.379075 35.611376, -82.37951199999999 35.610948, -82.380301 35.610451, -82.38246099999999 35.608657, -82.38269199999999 35.605569, -82.383781 35.604519, -82.385385 35.60352, -82.380017 35.600375, -82.379048 35.600176, -82.37758599999999 35.600031, -82.372816 35.60032, -82.3686 35.60163, -82.36759099999999 35.60207, -82.36725199999999 35.601543, -82.366406 35.599678, -82.37264999999999 35.598341, -82.377308 35.59817, -82.38771199999999 35.598458, -82.392577 35.597692, -82.39397 35.598951, -82.39596999999999 35.598376, -82.397774 35.601924, -82.39800099999999 35.60253))"
370210027012,1500000US370210027012,10108355,529427,2,021,370210027012,BG,2,37,002701,"POLYGON ((-82.62463 35.664674, -82.621211 35.669062, -82.617198 35.66929, -82.61649899999999 35.669491, -82.614654 35.670736, -82.61395899999999 35.67202, -82.61326299999999 35.675485, -82.61408299999999 35.679737, -82.61493999999999 35.681119, -82.61801699999999 35.683661, -82.619017 35.687239, -82.61935699999999 35.689899, -82.618315 35.691247, -82.614727 35.694714, -82.613558 35.694848, -82.61032399999999 35.693273, -82.607731 35.69497, -82.60654 35.691688, -82.60387 35.689709, -82.603465 35.688567, -82.604294 35.687315, -82.602234 35.687171, -82.60092499999999 35.688137, -82.600053 35.686514, -82.598658 35.686255, -82.598681 35.689394, -82.596694 35.689452, -82.595809 35.687442, -82.59396599999999 35.687765, -82.595141 35.689451, -82.59383799999999 35.689965, -82.591032 35.689106, -82.59142299999999 35.690414, -82.588689 35.690722, -82.58651999999999 35.691942, -82.586811 35.695234, -82.585679 35.694833, -82.58450000000001 35.692218, -82.582055 35.69218, -82.58115099999999 35.6888, -82.579837 35.688924, -82.57865 35.689103, -82.57711599999999 35.689202, -82.570306 35.688038, -82.568467 35.68689, -82.566231 35.686407, -82.564858 35.68466, -82.56684 35.68276, -82.56777099999999 35.682108, -82.56819299999999 35.681867, -82.56895 35.681527, -82.56925099999999 35.681413, -82.570578 35.680979, -82.571454 35.680693, -82.572501 35.680479, -82.576098 35.677053, -82.580651 35.673871, -82.58140499999999 35.67322, -82.58206 35.672398, -82.582329 35.672059, -82.583989 35.67367, -82.58081 35.683911, -82.58296199999999 35.677411, -82.58571499999999 35.675083, -82.58676799999999 35.675319, -82.58663399999999 35.675716, -82.58436499999999 35.67687, -82.583597 35.679601, -82.583775 35.679992, -82.587256 35.680185, -82.58861399999999 35.68005, -82.589483 35.679253, -82.58825899999999 35.6772, -82.589744 35.675941, -82.590234 35.676565, -82.590152 35.6804, -82.591819 35.679727, -82.59381499999999 35.680517, -82.59622 35.67755, -82.596626 35.676137, -82.594358 35.671177, -82.59761899999999 35.669105, -82.59913399999999 35.668571, -82.600065 35.668274, -82.602003 35.668417, -82.605352 35.668125, -82.604856 35.667562, -82.60441 35.667077, -82.6015 35.665077, -82.60095699999999 35.664448, -82.600207 35.663252, -82.59662399999999 35.6582, -82.59772199999999 35.656632, -82.59886999999999 35.652922, -82.59782199999999 35.651641, -82.59768299999999 35.651318, -82.60064799999999 35.65134, -82.60113799999999 35.652479, -82.60212299999999 35.654621, -82.60343499999999 35.656509, -82.604715 35.657197, -82.605862 35.657347, -82.609808 35.657592, -82.61622 35.658285, -82.62072999999999 35.659707, -82.623789 35.661198, -82.625022 35.662766, -82.62463 35.664674))"
370210016002,1500000US370210016002,2685431,3521,2,021,370210016002,BG,2,37,001600,"POLYGON ((-82.57733399999999 35.622945, -82.575397 35.625166, -82.57510499999999 35.626837, -82.57521 35.628462, -82.57602399999999 35.630142, -82.57522899999999 35.636676, -82.576229 35.637964, -82.57577999999999 35.638205, -82.575464 35.637846, -82.57476199999999 35.637361, -82.57085499999999 35.63703, -82.568584 35.63635, -82.569447 35.63564, -82.56877399999999 35.633368, -82.566603 35.633479, -82.56465399999999 35.63176, -82.56285099999999 35.633015, -82.55704999999999 35.631745, -82.55393599999999 35.625594, -82.554647 35.623198, -82.55438099999999 35.620353, -82.56016199999999 35.620444, -82.56139399999999 35.621707, -82.56483799999999 35.620841, -82.565001 35.620828, -82.567673 35.620467, -82.56965 35.622212, -82.573454 35.622656, -82.57637 35.620408, -82.57733399999999 35.622945))"
370210014005,1500000US370210014005,3100525,0,5,021,370210014005,BG,5,37,001400,"POLYGON ((-82.626693 35.609309, -82.62650699999999 35.612809, -82.625129 35.612973, -82.623137 35.611436, -82.619309 35.611044, -82.618275 35.610013, -82.61681399999999 35.608616, -82.615275 35.608501, -82.61381 35.607849, -82.61270499999999 35.607188, -82.612363 35.606609, -82.60624799999999 35.602711, -82.604795 35.600669, -82.60267499999999 35.598698, -82.60198799999999 35.597783, -82.601795 35.59746, -82.601123 35.595322, -82.60069799999999 35.594857, -82.600442 35.59461599999999, -82.60005799999999 35.593971, -82.60401999999999 35.594123, -82.60411999999999 35.59121, -82.605853 35.592268, -82.61016699999999 35.5929, -82.61350899999999 35.591722, -82.617023 35.59269099999999, -82.621971 35.596464, -82.623036 35.597678, -82.623429 35.59824, -82.62371399999999 35.599425, -82.622704 35.599621, -82.62549199999999 35.604759, -82.62589299999999 35.605766, -82.626042 35.606138, -82.62608299999999 35.606239, -82.62631499999999 35.607008, -82.626897 35.608386, -82.626693 35.609309))"
370210022041,1500000US370210022041,10718206,146393,1,021,370210022041,BG,1,37,002204,"POLYGON ((-82.592192 35.500144, -82.587851 35.501265, -82.58531699999999 35.501476, -82.583595 35.50031, -82.581605 35.500069, -82.579048 35.500761, -82.576809 35.499796, -82.574956 35.499761, -82.572541 35.498443, -82.56961799999999 35.49803199999999, -82.566981 35.496293, -82.565896 35.496185, -82.55936899999999 35.4979, -82.558077 35.499047, -82.558544 35.502534, -82.558396 35.506257, -82.55686299999999 35.508828, -82.55626199999999 35.511774, -82.55170000000001 35.512569, -82.546115 35.513926, -82.544814 35.514204, -82.541927 35.514893, -82.536394 35.515567, -82.535118 35.515227, -82.53731399999999 35.514575, -82.537564 35.511917, -82.537559 35.511444, -82.536917 35.509338, -82.537751 35.507735, -82.53321299999999 35.506772, -82.53168199999999 35.50942, -82.53069699999999 35.509502, -82.52615399999999 35.509453, -82.524 35.503409, -82.521717 35.49975, -82.521254 35.498445, -82.524906 35.502077, -82.52846599999999 35.502294, -82.528829 35.498569, -82.529833 35.496795, -82.532549 35.495549, -82.536428 35.493722, -82.537508 35.492208, -82.537701 35.489034, -82.53851299999999 35.483141, -82.54037 35.482971, -82.54363099999999 35.480398, -82.548029 35.479981, -82.550178 35.480772, -82.55096899999999 35.481067, -82.552734 35.481728, -82.55297999999999 35.481809, -82.553189 35.481958, -82.553428 35.482016, -82.553635 35.48197, -82.55512 35.482253, -82.557835 35.481769, -82.561325 35.48363, -82.563947 35.486028, -82.565077 35.489832, -82.568051 35.491875, -82.56984 35.492408, -82.57535799999999 35.493064, -82.578845 35.491428, -82.583079 35.490656, -82.58715699999999 35.49254, -82.58986 35.495828, -82.59246 35.497971, -82.592192 35.500144))"
370210030012,1500000US370210030012,39459386,98756,2,021,370210030012,BG,2,37,003001,"POLYGON ((-82.477187 35.614795, -82.474694 35.619425, -82.47150599999999 35.621149, -82.471571 35.622479, -82.470066 35.625527, -82.47272099999999 35.628566, -82.47196799999999 35.631715, -82.47301399999999 35.633142, -82.47266499999999 35.636203, -82.474025 35.637825, -82.47447799999999 35.639868, -82.471779 35.642067, -82.473552 35.646573, -82.474812 35.647473, -82.47613299999999 35.651935, -82.475279 35.652892, -82.474614 35.656322, -82.47503999999999 35.658762, -82.47312199999999 35.662097, -82.47261899999999 35.665714, -82.47169 35.668425, -82.469544 35.666273, -82.46522399999999 35.667351, -82.462875 35.666535, -82.461972 35.665797, -82.46104099999999 35.662943, -82.457104 35.659213, -82.456417 35.656686, -82.453385 35.6541, -82.452483 35.654197, -82.44863599999999 35.657224, -82.45021 35.660115, -82.45076999999999 35.662606, -82.448911 35.664767, -82.4477 35.667202, -82.446022 35.667734, -82.44310399999999 35.667261, -82.44237299999999 35.668014, -82.442083 35.670621, -82.443634 35.671494, -82.443494 35.67219, -82.44280999999999 35.674561, -82.44107099999999 35.676066, -82.439612 35.675985, -82.436514 35.674763, -82.435346 35.676525, -82.4328 35.676679, -82.429233 35.679018, -82.42576199999999 35.678291, -82.42519299999999 35.676104, -82.423788 35.675353, -82.421269 35.67544, -82.420512 35.676085, -82.419861 35.678273, -82.417334 35.678213, -82.417458 35.680524, -82.414698 35.684965, -82.41337799999999 35.686136, -82.410815 35.686299, -82.409144 35.688648, -82.409435 35.69103, -82.40843 35.694684, -82.40522 35.696669, -82.40514499999999 35.696362, -82.40448099999999 35.692605, -82.401296 35.688935, -82.400865 35.687439, -82.40155299999999 35.684841, -82.40117699999999 35.68157, -82.401833 35.676394, -82.400898 35.674343, -82.401774 35.671486, -82.401842 35.668821, -82.402941 35.66682, -82.40277999999999 35.665413, -82.40517799999999 35.662859, -82.40452599999999 35.660594, -82.405759 35.658254, -82.405187 35.655869, -82.405424 35.652765, -82.40491299999999 35.649182, -82.40128199999999 35.645125, -82.401251 35.64141499999999, -82.39975 35.640594, -82.39963999999999 35.636421, -82.40296499999999 35.632849, -82.40605699999999 35.631542, -82.40939399999999 35.631297, -82.420084 35.63333799999999, -82.42280699999999 35.632884, -82.425468 35.631428, -82.429962 35.62531, -82.430931 35.62106199999999, -82.42758599999999 35.617403, -82.425304 35.613865, -82.423553 35.612865, -82.43180199999999 35.611979, -82.43507 35.61407, -82.43751499999999 35.614836, -82.442301 35.612912, -82.44350799999999 35.609806, -82.446511 35.611321, -82.447159 35.612945, -82.451313 35.613455, -82.451842 35.613404, -82.452562 35.612849, -82.45270000000001 35.612447, -82.452775 35.611531, -82.45302699999999 35.61113, -82.45376399999999 35.610437, -82.45562799999999 35.60940799999999, -82.456284 35.609137, -82.45920000000001 35.608058, -82.46088399999999 35.608259, -82.46680599999999 35.607583, -82.471277 35.607333, -82.474707 35.604842, -82.475612 35.606847, -82.475278 35.608845, -82.477187 35.614795))"
